episode,score,timestep
1,0,74
2,0,148
3,0,222
4,0,296
5,0,370
6,0,444
7,0,518
8,0,592
9,0,666
10,0,740
11,0,814
12,0,888
13,0,962
14,0,1036
15,0,1110
16,0,1184
17,0,1258
18,0,1332
19,0,1406
20,0,1480
21,0,1554
22,0,1628
23,0,1702
24,0,1776
25,0,1850
26,0,1924
27,0,1998
28,0,2072
29,0,2146
30,0,2220
31,0,2294
32,0,2368
33,0,2442
34,0,2516
35,0,2590
36,0,2664
37,0,2738
38,0,2812
39,0,2886
40,0,2960
41,0,3034
42,0,3108
43,0,3182
44,0,3256
45,0,3330
46,0,3404
47,0,3478
48,0,3552
49,0,3626
50,0,3700
51,0,3774
52,0,3848
53,0,3922
54,0,3996
55,0,4070
56,0,4144
57,0,4218
58,0,4292
59,0,4366
60,0,4440
61,0,4514
62,0,4588
63,0,4662
64,0,4736
65,0,4810
66,0,4884
67,0,4958
68,0,5032
69,0,5106
70,0,5180
71,0,5254
72,0,5328
73,0,5402
74,0,5476
75,0,5550
76,0,5624
77,0,5698
78,0,5772
79,0,5846
80,0,5920
81,0,5994
82,0,6068
83,0,6142
84,0,6216
85,0,6290
86,0,6364
87,0,6438
88,0,6512
89,0,6586
90,0,6660
91,0,6734
92,0,6808
93,0,6882
94,0,6956
95,0,7030
96,0,7104
97,0,7178
98,0,7252
99,0,7326
100,0,7400
101,0,7474
102,0,7548
103,0,7622
104,0,7696
105,0,7770
106,0,7844
107,0,7918
108,0,7992
109,0,8066
110,0,8140
111,0,8214
112,0,8288
113,0,8362
114,0,8436
115,0,8510
116,0,8584
117,0,8658
118,0,8732
119,0,8806
120,0,8880
121,0,8954
122,0,9028
123,0,9102
124,0,9176
125,0,9250
126,0,9324
127,0,9398
128,0,9472
129,0,9546
130,0,9620
131,0,9694
132,0,9768
133,0,9842
134,0,9916
135,0,9990
136,0,10064
137,0,10138
138,0,10212
139,0,10286
140,0,10360
141,0,10434
142,0,10508
143,0,10582
144,0,10656
145,0,10730
146,0,10804
147,0,10878
148,0,10952
149,0,11026
150,0,11100
151,0,11174
152,0,11248
153,0,11322
154,0,11396
155,0,11470
156,0,11544
157,0,11618
158,0,11692
159,0,11766
160,0,11840
161,0,11914
162,0,11988
163,0,12062
164,0,12136
165,0,12210
166,0,12284
167,0,12358
168,0,12432
169,0,12506
170,0,12580
171,0,12654
172,0,12728
173,0,12802
174,0,12876
175,0,12950
176,0,13024
177,0,13098
178,0,13172
179,0,13246
180,0,13320
181,0,13394
182,0,13468
183,0,13542
184,0,13616
185,0,13690
186,0,13764
187,0,13838
188,0,13912
189,0,13986
190,0,14060
191,0,14134
192,0,14208
193,0,14282
194,0,14356
195,0,14430
196,0,14504
197,0,14578
198,0,14652
199,0,14726
200,0,14800
201,0,14874
202,0,14948
203,0,15022
204,0,15096
205,0,15170
206,0,15244
207,0,15318
208,0,15392
209,0,15466
210,0,15540
211,0,15614
212,0,15688
213,0,15762
214,0,15836
215,0,15910
216,0,15984
217,0,16058
218,0,16132
219,0,16206
220,0,16280
221,0,16354
222,0,16428
223,0,16502
224,0,16576
225,0,16650
226,0,16724
227,0,16798
228,0,16872
229,0,16946
230,0,17020
231,0,17094
232,0,17168
233,0,17242
234,0,17316
235,0,17390
236,0,17464
237,0,17538
238,0,17612
239,0,17686
240,0,17760
241,0,17834
242,0,17908
243,0,17982
244,0,18056
245,0,18130
246,0,18204
247,0,18278
248,0,18352
249,0,18426
250,0,18500
251,0,18574
252,0,18648
253,0,18722
254,0,18796
255,0,18870
256,0,18944
257,0,19018
258,0,19092
259,0,19166
260,0,19240
261,0,19314
262,0,19388
263,0,19462
264,0,19536
265,0,19610
266,0,19684
267,0,19758
268,0,19832
269,0,19906
270,0,19980
271,0,20054
272,0,20128
273,0,20202
274,0,20276
275,0,20350
276,0,20424
277,0,20498
278,0,20572
279,0,20646
280,0,20720
281,0,20794
282,0,20868
283,0,20942
284,0,21016
285,0,21090
286,0,21164
287,0,21238
288,0,21312
289,0,21386
290,0,21460
291,0,21534
292,0,21608
293,0,21682
294,0,21756
295,0,21830
296,0,21904
297,0,21978
298,0,22052
299,0,22126
300,0,22200
301,0,22274
302,0,22348
303,0,22422
304,0,22496
305,0,22570
306,0,22644
307,0,22718
308,0,22792
309,0,22866
310,0,22940
311,0,23014
312,0,23088
313,0,23162
314,0,23236
315,0,23310
316,0,23384
317,0,23458
318,0,23532
319,0,23606
320,0,23680
321,0,23754
322,0,23828
323,0,23902
324,0,23976
325,0,24050
326,0,24124
327,0,24198
328,0,24272
329,0,24346
330,0,24420
331,0,24494
332,0,24568
333,0,24642
334,0,24716
335,0,24790
336,0,24864
337,0,24938
338,0,25012
339,0,25086
340,0,25160
341,0,25234
342,0,25308
343,0,25382
344,0,25456
345,0,25530
346,0,25604
347,0,25678
348,0,25752
349,0,25826
350,0,25900
351,0,25974
352,0,26048
353,0,26122
354,0,26196
355,0,26270
356,0,26344
357,0,26418
358,0,26492
359,0,26566
360,0,26640
361,0,26714
362,0,26788
363,0,26862
364,0,26948
365,0,27022
366,0,27096
367,0,27189
368,0,27263
369,0,27337
370,0,27411
371,0,27485
372,0,27559
373,0,27633
374,0,27707
375,0,27781
376,0,27855
377,0,27929
378,0,28003
379,0,28077
380,0,28151
381,0,28225
382,0,28299
383,0,28373
384,0,28410
385,0,28484
386,0,28558
387,0,28632
388,0,28706
389,0,28780
390,0,28854
391,0,28928
392,0,28965
393,0,29002
394,0,29039
395,0,29076
396,0,29150
397,0,29224
398,0,29319
399,0,29393
400,0,29430
401,0,29502
402,0,29576
403,0,29613
404,0,29650
405,0,29724
406,0,29761
407,0,29835
408,0,29909
409,0,29996
410,0,30070
411,0,30107
412,0,30181
413,0,30255
414,0,30329
415,0,30403
416,0,30477
417,0,30514
418,0,30551
419,0,30647
420,0,30684
421,0,30758
422,0,30836
423,0,30910
424,0,30984
425,0,31058
426,0,31095
427,0,31132
428,0,31169
429,0,31243
430,0,31317
431,0,31391
432,0,31428
433,0,31465
434,0,31539
435,0,31613
436,0,31687
437,0,31724
438,0,31761
439,0,31835
440,0,31872
441,0,31946
442,0,31983
443,0,32057
444,0,32131
445,0,32168
446,0,32238
447,0,32275
448,0,32349
449,0,32423
450,0,32497
451,0,32534
452,0,32608
453,0,32682
454,0,32756
455,0,32830
456,0,32904
457,0,32978
458,0,33052
459,0,33126
460,0,33200
461,0,33290
462,0,33364
463,0,33438
464,0,33512
465,0,33586
466,0,33660
467,0,33734
468,0,33808
469,0,33882
470,0,33956
471,0,34030
472,0,34104
473,0,34178
474,0,34252
475,0,34326
476,0,34400
477,0,34474
478,0,34548
479,0,34622
480,0,34696
481,0,34770
482,0,34844
483,0,34918
484,0,34992
485,0,35066
486,0,35140
487,0,35214
488,0,35288
489,0,35362
490,0,35436
491,0,35510
492,0,35584
493,0,35658
494,0,35732
495,0,35806
496,0,35880
497,0,35954
498,0,36028
499,0,36102
500,0,36176
501,0,36250
502,0,36324
503,0,36398
504,0,36472
505,0,36546
506,0,36620
507,0,36694
508,0,36768
509,0,36842
510,0,36916
511,0,36990
512,0,37064
513,0,37138
514,0,37212
515,0,37286
516,0,37360
517,0,37434
518,0,37508
519,0,37604
520,0,37678
521,0,37752
522,0,37826
523,0,37900
524,0,37974
525,0,38048
526,0,38122
527,0,38196
528,0,38270
529,0,38344
530,0,38418
531,0,38492
532,0,38566
533,0,38640
534,0,38714
535,0,38788
536,0,38862
537,0,38936
538,0,38973
539,0,39047
540,0,39122
541,0,39159
542,0,39196
543,0,39270
544,0,39344
545,0,39425
546,0,39462
547,0,39536
548,0,39610
549,0,39705
550,0,39779
551,0,39853
552,0,39927
553,0,39964
554,0,40001
555,0,40075
556,0,40149
